基金代碼,基金中文名稱,基金英文名稱,幣別,ISINCODE,總代理機構代碼,總代理機構名稱,境外基金機構代碼,境外基金機構名稱,基金狀態
="2096CQ",景順英國高質債券基金C-季配息股 英鎊,Invesco UK Investment Grade Bond Fund C-QD GBP,GBP,="LU0903533148",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2099AY",景順印度股票基金A-年配息股 美元,Invesco India Equity Fund A-AD USD,USD,="LU0267983889",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2099CY",景順印度股票基金C-年配息股 美元,Invesco India Equity Fund C-AD USD,USD,="LU0267984267",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2102AA",景順日本股票優勢基金A股 日圓,Invesco Japanese Equity Advantage Fund A JPY,JPY,="LU0607514717",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2102CC",景順日本股票優勢基金C股 日圓,Invesco Japanese Equity Advantage Fund C JPY,JPY,="LU0607514808",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2105AA",景順日本價值股票基金A股 日圓,Invesco Japanese Value Equity Fund A JPY,JPY,="LU0607515367",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2105CC",景順日本價值股票基金C股 日圓,Invesco Japanese Value Equity Fund C JPY,JPY,="LU0607515953",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2111AA",景順消閒基金A股 美元,Invesco Global Leisure Fund A USD,USD,="LU0052864419",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2111BB",景順消閒基金B股 美元,Invesco Global Leisure Fund B USD,USD,="LU0130709461",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2111CC",景順消閒基金C股 美元,Invesco Global Leisure Fund C USD,USD,="LU0100598878",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
